empieza;tipo;tema
Crear un programa que permita calcular el volumen de un cilindro, una esfera y un cono. Las ecuaciones de las respectivas figuras son: Cilindro = π*r^2*h Esfera = 4/3*π*r^3 Cono = 1/3*π*r^2*h;fórmula volumen cilindro;condicion-info
Crear un programa que permita calcular el volumen de un cilindro, una esfera y un cono. Las ecuaciones de las respectivas figuras son: Cilindro = π*r^2*h Esfera = 4/3*π*r^3 Cono = 1/3*π*r^2*h;fórmula volumen esfera;condicion-info
Crear un programa que permita calcular el volumen de un cilindro, una esfera y un cono. Las ecuaciones de las respectivas figuras son: Cilindro = π*r^2*h Esfera = 4/3*π*r^3 Cono = 1/3*π*r^2*h;fórmula volumen cono;condicion-info
Crear un programa que permita calcular el volumen de un cilindro, una esfera y un cono. Las ecuaciones de las respectivas figuras son: Cilindro = π*r^2*h Esfera = 4/3*π*r^3 Cono = 1/3*π*r^2*h;calcular volumen sólidos;hacer
Crear un programa que permita calcular el volumen de un cilindro, una esfera y un cono. Las ecuaciones de las respectivas figuras son: Cilindro = π*r^2*h Esfera = 4/3*π*r^3 Cono = 1/3*π*r^2*h;radio r;entrada
Crear un programa que permita calcular el volumen de un cilindro, una esfera y un cono. Las ecuaciones de las respectivas figuras son: Cilindro = π*r^2*h Esfera = 4/3*π*r^3 Cono = 1/3*π*r^2*h;altura h;entrada
Crear un programa que permita calcular el volumen de un cilindro, una esfera y un cono. Las ecuaciones de las respectivas figuras son: Cilindro = π*r^2*h Esfera = 4/3*π*r^3 Cono = 1/3*π*r^2*h;número;salida
Crear un programa que permita calcular el volumen de un cilindro, una esfera y un cono. Las ecuaciones de las respectivas figuras son: Cilindro = π*r^2*h Esfera = 4/3*π*r^3 Cono = 1/3*π*r^2*h;recibir por teclado el radio y la altura;pseudocodigo
Crear un programa que permita calcular el volumen de un cilindro, una esfera y un cono. Las ecuaciones de las respectivas figuras son: Cilindro = π*r^2*h Esfera = 4/3*π*r^3 Cono = 1/3*π*r^2*h;especificar a que sólido se le calculará el volumen;pseudocodigo
Crear un programa que permita calcular el volumen de un cilindro, una esfera y un cono. Las ecuaciones de las respectivas figuras son: Cilindro = π*r^2*h Esfera = 4/3*π*r^3 Cono = 1/3*π*r^2*h;llamar la función para calcular el volumen del sólido elegido;pseudocodigo
Crear un programa que permita calcular el volumen de un cilindro, una esfera y un cono. Las ecuaciones de las respectivas figuras son: Cilindro = π*r^2*h Esfera = 4/3*π*r^3 Cono = 1/3*π*r^2*h;mostrar el resultado en pantalla;pseudocodigo
-;-;-
Calcular el número más grande de 5 número dados;5 números dados;condicion-info
Calcular el número más grande de 5 número dados;calcular el más grande de los números dados;condicion-info
Calcular el número más grande de 5 número dados;buscar el número mayor;hacer
Calcular el número más grande de 5 número dados;5 números ;entrada
Calcular el número más grande de 5 número dados;número;salida
Calcular el número más grande de 5 número dados;recibir por teclado los 5 números;pseudocodigo
Calcular el número más grande de 5 número dados;calcular el mayor;pseudocodigo
Calcular el número más grande de 5 número dados;mostrar el resultado en pantalla;pseudocodigo
-;-;-
Realizar las operaciones básicas con números de tipo entero y números de tipo flotante;sumar, restar, multiplicar, dividir;condicion-info
Realizar las operaciones básicas con números de tipo entero y números de tipo flotante;números enteros;condicion-info
Realizar las operaciones básicas con números de tipo entero y números de tipo flotante;números flotantes;condicion-info
Realizar las operaciones básicas con números de tipo entero y números de tipo flotante;operaciones basicas con números flotantes;hacer
Realizar las operaciones básicas con números de tipo entero y números de tipo flotante;operaciones basicas con números enteros;hacer
Realizar las operaciones básicas con números de tipo entero y números de tipo flotante;números enteros;entrada
Realizar las operaciones básicas con números de tipo entero y números de tipo flotante;números flotantes;entrada
Realizar las operaciones básicas con números de tipo entero y números de tipo flotante;resultados de las operaciones básicas;salida
Realizar las operaciones básicas con números de tipo entero y números de tipo flotante;recibir por teclado los números enteros;pseudocodigo
Realizar las operaciones básicas con números de tipo entero y números de tipo flotante;recibir por teclado los números flotantes;pseudocodigo
Realizar las operaciones básicas con números de tipo entero y números de tipo flotante;mostrar en pantalla el resultado de las operaciones básicas para los números dados;pseudocodigo
-;-;-
En un teatro cada cliente paga $10.000 por entrada y cada función le cuesta al teatro $300.000 por la atención prestada. Por cada cliente que entre el teatro debe pagar un costo de $2.000 por aseo. Desarrollar un programa que reciba el número de clientes de una función y devuelva el valor de las ganancias obtenidas;cada cliente paga $10.000 por entrada;condicion-info
En un teatro cada cliente paga $10.000 por entrada y cada función le cuesta al teatro $300.000 por la atención prestada. Por cada cliente que entre el teatro debe pagar un costo de $2.000 por aseo. Desarrollar un programa que reciba el número de clientes de una función y devuelva el valor de las ganancias obtenidas;cada función le cuesta al teatro $300.000 ;condicion-info
En un teatro cada cliente paga $10.000 por entrada y cada función le cuesta al teatro $300.000 por la atención prestada. Por cada cliente que entre el teatro debe pagar un costo de $2.000 por aseo. Desarrollar un programa que reciba el número de clientes de una función y devuelva el valor de las ganancias obtenidas;se pagan $2.000 de aseo por cliente;condicion-info
En un teatro cada cliente paga $10.000 por entrada y cada función le cuesta al teatro $300.000 por la atención prestada. Por cada cliente que entre el teatro debe pagar un costo de $2.000 por aseo. Desarrollar un programa que reciba el número de clientes de una función y devuelva el valor de las ganancias obtenidas;desarrollar un programa que reciba el número de clientes de una función y devuelva el valor de las ganancias obtenidas;hacer
En un teatro cada cliente paga $10.000 por entrada y cada función le cuesta al teatro $300.000 por la atención prestada. Por cada cliente que entre el teatro debe pagar un costo de $2.000 por aseo. Desarrollar un programa que reciba el número de clientes de una función y devuelva el valor de las ganancias obtenidas;número de clientes;entrada
En un teatro cada cliente paga $10.000 por entrada y cada función le cuesta al teatro $300.000 por la atención prestada. Por cada cliente que entre el teatro debe pagar un costo de $2.000 por aseo. Desarrollar un programa que reciba el número de clientes de una función y devuelva el valor de las ganancias obtenidas;ganancias obtenidas;salida
En un teatro cada cliente paga $10.000 por entrada y cada función le cuesta al teatro $300.000 por la atención prestada. Por cada cliente que entre el teatro debe pagar un costo de $2.000 por aseo. Desarrollar un programa que reciba el número de clientes de una función y devuelva el valor de las ganancias obtenidas;recibir por teclado el número de clientes;pseudocodigo
En un teatro cada cliente paga $10.000 por entrada y cada función le cuesta al teatro $300.000 por la atención prestada. Por cada cliente que entre el teatro debe pagar un costo de $2.000 por aseo. Desarrollar un programa que reciba el número de clientes de una función y devuelva el valor de las ganancias obtenidas;llamar la función para el cálculo de las ganancias;pseudocodigo
En un teatro cada cliente paga $10.000 por entrada y cada función le cuesta al teatro $300.000 por la atención prestada. Por cada cliente que entre el teatro debe pagar un costo de $2.000 por aseo. Desarrollar un programa que reciba el número de clientes de una función y devuelva el valor de las ganancias obtenidas;mostrar en pantalla las ganancias;pseudocodigo
-;-;-
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;descuento carnes 10%;condicion-info
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;descuento frutas 5%;condicion-info
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;descuento aseo 7%;condicion-info
En un supermercado se ofrecen descuentos por el total del valor en cada uno de los siguientes productos: carnes con 10%, frutas con el 5%, aseo con el 7%, dulces con el 9%. Una persona desea llevar $10.550 en dulces, $50.000 en carne y $35.000 en productos de aseo. Se necesita calcular el descuento total por cada tipo de producto, posteriormente entregar el valor total a pagar con descuento y sin descuento.;descuento dulces 9%;condicion-info
